id,true_cluster,Y1,Y2,Y3
1,2,1,8,3
2,1,8,2,16
3,1,6,3,9
4,1,9,1,6
5,1,4,3,13
6,2,2,5,4
7,2,3,6,1
8,1,4,4,8
9,2,0,3,3
10,2,1,10,2
11,2,1,7,2
12,1,7,0,10
13,2,0,5,7
14,1,2,2,13
15,2,0,7,3
16,2,1,7,2
17,2,1,5,2
18,1,8,1,12
19,2,2,7,0
20,2,1,8,3
21,1,9,1,5
22,1,8,0,10
23,2,0,8,0
24,2,0,7,8
25,1,7,1,7
26,1,7,1,12
27,2,1,4,5
28,2,1,3,4
29,2,2,6,4
30,2,1,8,3
31,2,0,4,6
32,2,0,8,3
33,1,10,5,11
34,2,3,7,4
35,2,0,4,5
36,1,1,3,12
37,2,1,10,2
38,2,1,5,4
39,1,4,0,7
40,2,0,10,4
41,1,10,1,8
42,2,3,9,2
43,1,3,3,9
44,2,5,6,4
45,1,8,3,7
46,1,5,4,12
47,1,4,2,14
48,1,4,2,11
49,2,0,6,4
50,2,0,4,1
51,1,5,4,10
52,1,4,1,6
53,1,5,3,10
54,1,5,1,11
55,2,1,6,2
56,2,1,4,1
57,2,1,7,2
58,2,2,10,2
59,1,4,4,8
60,2,1,4,4
61,2,0,9,1
62,2,1,7,2
63,2,1,5,3
64,2,1,2,2
65,1,7,3,12
66,1,8,1,7
67,2,0,10,6
68,2,0,6,3
69,2,1,6,1
70,2,1,9,1
71,2,1,7,3
72,2,2,2,1
73,2,1,8,3
74,2,1,4,3
75,1,5,2,11
76,2,1,10,6
77,2,0,14,4
78,2,2,7,1
79,2,1,3,3
80,1,7,0,6
81,1,4,0,10
82,2,0,5,3
83,1,3,0,8
84,2,1,8,2
85,1,4,5,12
86,2,1,6,4
87,2,2,7,5
88,1,1,1,5
89,2,3,2,5
90,1,3,1,13
91,2,0,7,1
92,2,4,12,3
93,2,2,4,2
94,1,7,1,6
95,1,3,2,10
96,2,3,6,3
97,1,1,2,13
98,2,0,6,4
99,1,3,1,2
100,1,3,2,10
101,2,3,5,5
102,2,1,7,4
103,2,0,6,3
104,1,6,2,12
105,1,2,2,12
106,2,0,9,5
107,2,0,1,3
108,1,5,4,7
109,2,0,9,5
110,1,4,2,14
111,2,2,9,3
112,1,0,2,6
113,1,8,0,8
114,1,7,1,12
115,1,4,4,5
116,1,4,1,8
117,2,0,7,3
118,2,0,8,4
119,2,1,6,2
120,1,7,1,4
121,2,1,4,0
122,2,2,11,3
123,2,1,9,5
124,2,0,7,3
125,1,4,0,6
126,1,3,1,6
127,2,1,8,2
128,2,0,8,3
129,1,9,1,12
130,1,7,1,11
131,2,0,7,3
132,2,3,4,3
133,1,2,2,10
134,1,2,2,4
135,2,0,1,6
136,2,1,10,1
137,1,7,0,8
138,2,2,5,4
139,1,4,2,8
140,1,6,1,8
141,2,2,7,2
142,1,2,4,7
143,2,1,8,4
144,1,3,3,10
145,1,6,3,7
146,2,0,9,4
147,2,1,7,2
148,2,0,6,6
149,1,7,0,10
150,1,1,3,7
151,1,4,1,6
152,1,5,1,10
153,2,1,8,5
154,1,5,5,10
155,2,0,3,5
156,2,1,7,1
157,2,1,8,4
158,1,8,8,7
159,2,1,8,1
160,2,2,7,0
161,1,5,1,9
162,2,1,6,1
163,1,2,0,9
164,1,2,1,8
165,1,9,1,9
166,2,0,7,2
167,1,8,5,9
168,2,0,9,6
169,1,4,0,5
170,2,1,11,2
171,1,4,1,13
172,2,0,2,3
173,2,2,15,1
174,1,8,3,10
175,2,2,5,1
176,2,2,6,2
177,2,1,2,4
178,2,5,12,1
179,2,0,2,3
180,2,1,8,3
181,2,0,4,2
182,1,7,3,18
183,2,1,3,6
184,1,4,1,9
185,1,5,1,5
186,2,0,6,0
187,1,4,4,10
188,1,3,3,11
189,2,2,6,4
190,2,3,3,5
191,2,1,6,2
192,2,2,9,4
193,2,2,9,2
194,2,1,10,5
195,2,2,4,0
196,1,3,3,11
197,1,3,2,5
198,1,4,2,11
199,1,2,2,15
200,1,7,2,8
201,2,1,11,3
202,1,4,1,13
203,2,1,3,1
204,2,1,10,4
205,1,1,4,13
206,1,2,0,9
207,1,2,1,8
208,2,0,7,3
209,2,2,13,2
210,1,6,2,9
211,2,1,8,8
212,1,4,3,7
213,1,5,1,12
214,2,0,4,2
215,2,2,4,1
216,1,4,0,2
217,1,4,2,14
218,2,1,4,6
219,2,0,6,2
220,2,2,5,5
221,2,2,2,4
222,1,3,1,7
223,2,1,8,5
224,2,1,10,5
225,2,2,10,3
226,2,2,9,5
227,1,8,2,9
228,1,5,1,7
229,1,4,1,8
