id,true_cluster,Y1,Y2,Y3
1,2,1,7,5
2,1,4,2,16
3,1,1,6,29
4,1,5,0,12
5,1,3,3,8
6,2,0,4,3
7,2,2,1,0
8,1,3,6,23
9,2,0,5,4
10,2,2,6,3
11,2,5,13,5
12,1,3,1,14
13,2,0,10,1
14,1,3,0,9
15,2,4,8,0
16,2,1,5,3
17,2,1,5,0
18,1,8,2,33
19,2,1,5,2
20,2,4,5,6
21,1,9,1,57
22,1,1,3,15
23,2,0,5,0
24,2,1,4,5
25,1,9,0,13
26,1,3,3,19
27,2,0,11,5
28,2,1,12,4
29,2,4,14,2
30,2,1,1,6
31,2,0,8,8
32,2,0,12,0
33,1,7,1,51
34,2,2,4,12
35,2,1,7,1
36,1,14,1,22
37,2,0,10,5
38,2,1,0,3
39,1,3,3,10
40,2,2,1,1
41,1,6,4,13
42,2,0,7,5
43,1,5,3,7
44,2,5,20,4
45,1,11,5,19
46,1,3,0,9
47,1,5,4,22
48,1,5,6,8
49,2,0,4,3
50,2,0,11,1
51,1,2,2,5
52,1,6,0,22
53,1,3,4,12
54,1,1,0,2
55,2,1,17,1
56,2,4,6,1
57,2,0,16,5
58,2,1,14,2
59,1,3,1,5
60,2,2,5,3
61,2,0,29,6
62,2,2,1,2
63,2,1,0,3
64,2,0,7,5
65,1,8,5,7
66,1,5,1,6
67,2,1,6,1
68,2,1,8,3
69,2,1,17,2
70,2,0,2,2
71,2,1,8,9
72,2,1,11,1
73,2,2,13,5
74,2,1,3,4
75,1,6,3,3
76,2,0,4,1
77,2,2,9,4
78,2,0,0,3
79,2,0,8,0
80,1,5,2,9
81,1,3,2,9
82,2,3,2,5
83,1,1,4,5
84,2,1,24,3
85,1,5,1,15
86,2,1,9,2
87,2,0,10,1
88,1,1,3,39
89,2,1,9,4
90,1,3,3,7
91,2,3,9,8
92,2,0,8,4
93,2,1,4,2
94,1,5,1,7
95,1,4,6,20
96,2,1,11,3
97,1,5,2,4
98,2,0,3,5
99,1,2,2,15
100,1,6,0,3
101,2,0,7,8
102,2,1,3,4
103,2,1,9,2
104,1,3,0,5
105,1,8,4,31
106,2,0,4,2
107,2,1,6,4
108,1,2,4,1
109,2,1,6,7
110,1,4,0,8
111,2,5,9,5
112,1,15,2,12
113,1,21,4,6
114,1,4,1,10
115,1,4,7,36
116,1,3,1,5
117,2,2,14,3
118,2,2,3,6
119,2,1,2,1
120,1,5,1,16
121,2,2,6,2
122,2,1,27,1
123,2,0,5,6
124,2,1,4,2
125,1,5,1,3
126,1,7,3,10
127,2,1,5,6
128,2,2,7,4
129,1,14,5,18
130,1,4,2,22
131,2,3,12,6
132,2,1,16,1
133,1,3,1,16
134,1,8,4,7
135,2,0,4,1
136,2,1,3,2
137,1,5,1,18
138,2,2,11,2
139,1,9,2,13
140,1,6,1,8
141,2,1,4,4
142,1,1,0,29
143,2,1,8,5
144,1,5,4,14
145,1,4,0,11
146,2,1,6,2
147,2,0,5,6
148,2,2,17,6
149,1,8,8,25
150,1,7,0,34
151,1,8,2,9
152,1,2,3,6
153,2,3,16,3
154,1,3,4,2
155,2,2,3,9
156,2,0,9,3
157,2,2,12,3
158,1,13,2,10
159,2,0,2,1
160,2,1,12,8
161,1,1,1,8
162,2,0,15,4
163,1,2,1,6
164,1,7,2,10
165,1,1,3,2
166,2,2,1,1
167,1,12,1,9
168,2,1,14,0
169,1,4,1,10
170,2,3,7,5
171,1,9,2,5
172,2,5,6,2
173,2,0,3,4
174,1,1,3,4
175,2,1,12,0
176,2,2,2,2
177,2,1,8,6
178,2,1,2,2
179,2,0,3,0
180,2,0,4,0
181,2,0,21,1
182,1,4,0,10
183,2,1,14,5
184,1,6,3,13
185,1,1,1,11
186,2,3,4,5
187,1,7,2,4
188,1,2,3,4
189,2,0,8,5
190,2,2,9,3
191,2,2,7,2
192,2,2,9,4
193,2,0,23,1
194,2,0,1,1
195,2,1,4,2
196,1,2,1,21
197,1,5,2,2
198,1,4,0,10
199,1,16,4,15
200,1,16,0,4
201,2,1,15,2
202,1,4,2,21
203,2,1,13,2
204,2,1,14,0
205,1,5,1,25
206,1,10,3,16
207,1,4,3,24
208,2,0,1,2
209,2,1,10,1
210,1,3,2,5
211,2,0,4,0
212,1,9,3,18
213,1,7,0,10
214,2,0,8,0
215,2,1,3,4
216,1,5,1,9
217,1,5,0,2
218,2,0,11,0
219,2,1,8,2
220,2,6,4,2
221,2,0,7,0
222,1,7,3,9
223,2,2,4,6
224,2,5,4,16
225,2,3,8,4
226,2,0,4,3
227,1,12,3,21
228,1,6,4,6
229,1,9,1,1
230,2,0,0,5
231,2,0,22,1
232,2,0,2,0
233,2,1,3,11
234,2,0,2,2
235,2,3,1,0
236,2,0,10,3
237,1,6,2,5
238,2,0,6,6
239,2,0,8,5
240,2,0,1,3
241,2,0,5,3
242,2,3,23,9
243,1,10,1,14
244,1,4,0,3
245,1,1,1,23
246,2,1,6,4
247,2,1,3,1
248,1,6,1,11
249,1,4,1,14
250,1,2,1,6
251,2,2,7,1
252,2,3,1,3
253,2,2,6,1
254,2,0,4,2
255,2,2,28,2
256,1,2,1,13
257,2,1,4,9
258,1,8,3,11
259,2,0,8,14
260,2,0,6,1
261,2,0,5,2
262,1,4,0,8
263,1,4,1,12
264,2,1,10,4
265,1,7,1,11
266,1,2,1,19
267,1,9,1,17
268,2,0,4,5
269,2,1,17,1
270,1,8,0,7
271,2,0,8,6
272,1,5,1,18
273,1,0,3,14
274,2,1,7,2
275,1,3,4,23
276,2,2,6,2
277,1,10,1,17
278,1,3,5,15
279,2,1,13,0
280,2,1,10,4
281,2,0,21,3
282,2,1,17,9
283,1,7,4,5
284,1,3,5,6
285,1,17,2,25
286,1,2,2,23
287,1,4,1,10
288,1,4,1,14
289,2,1,2,2
290,2,3,8,7
291,2,0,6,5
292,2,0,1,6
293,2,1,2,4
294,2,3,4,2
295,2,1,14,1
296,2,2,8,3
297,1,10,0,5
298,2,1,12,0
299,1,7,1,4
300,2,0,12,5
301,1,2,3,23
302,2,2,4,1
303,2,0,4,5
304,2,0,5,3
305,1,2,0,6
306,2,0,2,3
307,1,3,0,6
308,2,2,4,2
309,1,3,4,16
310,2,2,8,1
311,1,9,4,12
312,2,2,2,3
313,1,14,11,34
314,1,3,2,11
315,2,3,2,3
316,1,11,3,10
317,2,0,11,2
318,2,1,2,0
319,2,1,7,1
320,2,1,6,2
321,2,1,11,4
322,1,4,4,11
323,1,5,4,12
